id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
157	East Caucasian	Lezgic	Tabasaran	Laka	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъаджибугъда	ʁaǯibuʁda	кукуруза	maize			DagLoans database	Laka2, Laka3	Samira Verhees	March 2025
20	East Caucasian	Lezgic	Agul	Khutkhul	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъяжибугъда	ʁaˤžibuʁda	кукуруза	maize			DagLoans database	Khutkhul1, Khutkhul4	Samira Verhees	March 2025
139	Turkic	Oghuz	Azerbaijani	Yersi	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъяжибугъда	ʁaˤžibuʁda	кукуруза	maize			DagLoans database	Yersi4	Samira Verhees	March 2025
160	East Caucasian	Lezgic	Tabasaran	Tatil'	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъяжибугъда	ʁaˤžibuʁda	кукуруза	maize			DagLoans database	Tatil5	Samira Verhees	March 2025
187	Turkic	Oghuz	Azerbaijani	Laçın	village	no	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	PEYĞƏMBƏR 	pejɣæmbær	qarğıdalı	maize			obastan		Samira Verhees	March 2025
141	Turkic	Oghuz	Azerbaijani	Qax	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	qarğıdalı	garɣɯdalɯ	кукуруза	maize			DagLoans database	Qax1, Qax3, Qax7, Qax8, Qax9	Samira Verhees	March 2025
14	East Caucasian	Andic	Karata	Karata	village	no	no	Maize	other wheat	Type of name	unclear	Name origin	шамакъуру	šamaqʼuru	кукуруза	maize			DagLoans database	Karata1, Karata2, Karata3	Samira Verhees	March 2025
168	East Caucasian	Tsezic	Tsez	Kidero	village	no	no	Maize	other	Type of name	simindi - Georgian	Name origin	симилди	simildi	кукуруза	maize			DagLoans database	Kidero1, Kidero2	Samira Verhees	March 2025
103	East Caucasian	Tsezic	Bezhta	Bezhta	village	no	no	Maize	other	Type of name	simindi - Georgian	Name origin	симильди	similʲdi	кукуруза	maize			DagLoans database	Bezhta2	Samira Verhees	March 2025
184	Turkic	Oghuz	Azerbaijani	Quba	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	HACIBUĞDA 	haǯibuɣda	qarğıdalı	maize			obastan		Samira Verhees	March 2025
186	Turkic	Oghuz	Azerbaijani	Quba	village	no	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	PEYĞƏMBƏR 	pejɣæmbær	qarğıdalı	maize			obastan		Samira Verhees	March 2025
188	Turkic	Oghuz	Azerbaijani	Salyan	village	no	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	PEYĞAMBIĞDA	pejɣambiɣda	qarğıdalı	maize			obastan		Samira Verhees	March 2025
144	Kartvelian	Georgic	Georgian	Qax	village	no	no	Maize	other	Type of name	simindi - Georgian	Name origin	smind	smind	кукуруза	maize			DagLoans database	Qax4	Samira Verhees	March 2025
189	Turkic	Oghuz	Azerbaijani	Şirvan	village	no	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	PEYĞƏMBƏRBUĞDA	pejɣæmbærbuɣda	qarğıdalı	maize		In the source it says Əli Bayramlı, I'm assuming they mean present-day Shirvan.	obastan		Samira Verhees	March 2025
